CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;2865417020;0;2865417020;11974636;0;11974636
00.000.208/0001-00;2021-12-31;3;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.001.180/0001-26;2021-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288843;280088;1568931;0;0;0
00.070.698/0001-11;2021-12-31;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2021-12-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.192.769/0001-59;2021-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2021-12-31;2;AUREN OPERAÇÕES S.A.;1995532616;0;1995532616;0;0;0
00.242.184/0001-04;2021-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;345759521;0;345759521;0;0;0
00.272.185/0001-93;2021-12-31;1;CIMS S.A.;16192164;32384168;48576332;0;0;0
00.336.701/0001-04;2021-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;49457271;18407491;67864762;193;0;193
00.359.742/0001-08;2021-12-31;1;FICTOR ALIMENTOS S.A.;20898;0;20898;0;0;0
00.383.281/0001-09;2021-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2021-12-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;140412;0;140412;0;0;0
00.416.968/0001-01;2021-12-31;3;BANCO INTER S.A.;1293373691;1285229952;2578603643;2347560;1114020;3461580
00.545.378/0001-70;2021-12-31;1;SERRA AZUL WATER PARK SA;29188116;0;29188116;0;0;0
00.622.416/0001-41;2021-12-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;352823928;0;352823928;0;0;0
00.644.907/0001-93;2021-12-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2021-12-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2021-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;904652040;0;904652040;5553257;0;5553257
00.864.214/0001-06;2021-12-31;5;ENERGISA S.A.;755993938;1058567972;1814561910;923837;3695348;4619185
00.897.864/0001-58;2021-12-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2021-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.938.574/0001-05;2021-12-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2021-12-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2021-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;61150262;0;61150262;0;0;0
01.027.058/0001-91;2021-12-31;2;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;14957298;0;14957298
01.083.200/0001-18;2021-12-31;1;NEOENERGIA S.A.;1213796848;0;1213796848;400;0;400
01.104.937/0001-70;2021-12-31;5;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764;0;11764;0;0;0
01.107.327/0001-20;2021-12-31;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.258.944/0001-26;2021-12-31;1;RUMO MALHA SUL S.A.;45035110304475;68516168445415;113551278749890;0;0;0
01.319.044/0001-41;2021-12-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2021-12-31;1;MRS LOGISTICA S.A.;188333;151667;340000;0;0;0
01.468.594/0001-22;2021-12-31;1;LG INFORMÁTICA S.A.;60000000;0;60000000;0;0;0
01.543.032/0001-04;2021-12-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2021-12-31;1;GAFISA S.A.;337445;0;337445;296;0;296
01.548.981/0001-79;2021-12-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.599.101/0001-93;2021-12-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;139431109;0;139431109;0;0;0
01.616.929/0001-02;2021-12-31;3;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.838.723/0001-27;2021-12-31;1;BRF S.A.;812473246;0;812473246;5053554;0;5053554
01.851.771/0001-55;2021-12-31;2;524 PARTICIPACOES S.A.;446808503;0;446808503;0;0;0
01.896.779/0001-38;2021-12-31;2;CSU DIGITAL S.A.;41800;0;41800;661;0;661
01.917.818/0001-36;2021-12-31;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.938.783/0001-11;2021-12-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;6425139;6425139;12850278;0;0;0
01.957.772/0001-89;2021-12-31;1;SUL 116 PARTICIPACOES S.A.;85596903;0;85596903;0;0;0
01.968.293/0001-68;2021-12-31;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.971.614/0001-83;2021-12-31;1;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;1026;874;1900;0;0;0
01.989.044/0001-59;2021-12-31;2;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2021-12-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.041.460/0001-93;2021-12-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2066887;0;2066887;0;0;0
02.062.747/0001-08;2021-12-31;1;SUDESTE S.A.;1092087415;0;1092087415;0;0;0
02.105.040/0001-23;2021-12-31;1;VIRGO II COMPANHIA DE SECURITIZACAO;41403;246;41649;0;0;0
02.149.205/0001-69;2021-12-31;1;PORTO SEGURO S.A.;646586;0;646586;8874;0;8874
02.162.616/0001-94;2021-12-31;1;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;52437;0;52437;0;0;0
02.193.750/0001-52;2021-12-31;1;DEXXOS PARTICIPAÇÕES S.A.;88241730;5771805;94013535;0;448299;448299
02.201.787/0001-85;2021-12-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.217.319/0001-07;2021-12-31;1;YBYRÁ CAPITAL S.A.;116574000;0;116574000;0;0;0
02.255.187/0001-08;2021-12-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;359332409;0;359332409;2717200;0;2717200
02.258.422/0001-97;2021-12-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.281.836/0001-37;2021-12-31;2;TRANSNORDESTINA LOGISTICA SA;26099763;26099748;52199511;0;0;0
02.286.479/0001-08;2021-12-31;1;LOCALIZA FLEET S.A.;103280;0;103280;0;0;0
02.291.077/0001-93;2021-12-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
