CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01;Caixa Líquido Atividades Operacionais;-523505.0000000000;S
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01;Caixa Líquido Atividades Operacionais;128656.0000000000;S
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.01;Recebimentos de Consumidores;71135.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.01;Recebimentos de Consumidores;63626.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.02;Fornecedores - Materiais e Serviços;-55715.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.02;Fornecedores - Materiais e Serviços;-44506.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.03;Fornecedores - Energia Elétrica;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.03;Fornecedores - Energia Elétrica;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.04;Contribuição de Iluminação Pública;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.04;Contribuição de Iluminação Pública;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.05;Salários e Encargos Sociais;-16186.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.05;Salários e Encargos Sociais;-18620.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.06;Rendimento de Aplicações Financeiras;47435.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.06;Rendimento de Aplicações Financeiras;45248.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.07;Pagametos de Encargos da Dívida;-842.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.07;Pagametos de Encargos da Dívida;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.08;Dividendos e Juros sobre Capital Próprio Recebidos;83972.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.08;Dividendos e Juros sobre Capital Próprio Recebidos;104954.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.09;Impostos e Contribuições;-649978.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.09;Impostos e Contribuições;-19708.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;6.01.10;Encargos Setoriais;0.0000000000;N
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;6.01.10;Encargos Setoriais;0.0000000000;N
