CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1;Ativo Total;5762118.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1;Ativo Total;6048802.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01;Ativo Circulante;1745209.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01;Ativo Circulante;1801826.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.01;Caixa e Equivalentes de Caixa;946188.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.01;Caixa e Equivalentes de Caixa;980080.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02;Aplicações Financeiras;14149.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02;Aplicações Financeiras;17453.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;14149.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;17453.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.01.02;Títulos Designados a Valor Justo;0.0000000000;S
