CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1499749.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1407912.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-952029.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1064813.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02.01;Custo das vendas e serviços;-915848.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02.01;Custo das vendas e serviços;-1001857.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02.02;Variação do valor justo do ativo biológico;-36181.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02.02;Variação do valor justo do ativo biológico;-62956.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.03;Resultado Bruto;547720.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.03;Resultado Bruto;343099.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04;Despesas/Receitas Operacionais;438396.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04;Despesas/Receitas Operacionais;-30522.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.01;Despesas com Vendas;-135603.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.01;Despesas com Vendas;-133804.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.02;Despesas Gerais e Administrativas;-94388.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.02;Despesas Gerais e Administrativas;-116878.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-96.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-2002.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.04;Outras Receitas Operacionais;617500.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.04;Outras Receitas Operacionais;136506.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.05;Outras Despesas Operacionais;-3767.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.05;Outras Despesas Operacionais;-10608.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.06;Resultado de Equivalência Patrimonial;54750.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.06;Resultado de Equivalência Patrimonial;96264.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;986116.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;312577.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06;Resultado Financeiro;-266987.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06;Resultado Financeiro;-302139.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.01;Receitas Financeiras;171236.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.01;Receitas Financeiras;135448.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.01.01;Receitas Financeiras;171236.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.01.01;Receitas Financeiras;132217.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;3231.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.02;Despesas Financeiras;-438223.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.02;Despesas Financeiras;-437587.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.02.01;Despesas Financeiras;-268337.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.02.01;Despesas Financeiras;-333604.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.02.02;Variações monetárias e cambiais líquidas;-7843.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.02.02;Variações monetárias e cambiais líquidas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.06.02.03;Instrumentos derivativos líquidos;-162043.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.06.02.03;Instrumentos derivativos líquidos;-103983.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;719129.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;10438.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-26800.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;74680.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.08.01;Corrente;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.08.01;Corrente;0.0000000000;S
